#,English,Marathi Devanagari
,[x] is a village in the [y] district with an area of [z] hectares and harbouring [u] households with total population of [v] as per the 2011 Census. The nearest town [w] is,[x] हे [y] जिल्ह्यातील [z] हेक्टर क्षेत्राचे गाव असून २०११ च्या जनगणनेनुसार ह्या गावात [u] कुटुंबे व एकूण [v] लूकसंख्या आहे. ह्याच्या सर्वात जवळचे शहर [w]  
,Educational facilities,शैक्षणिक सुविधा
,Pre-primary schools,पूर्व-प्राथमिक शाळा
,The nearest (y) is at distance of [x] kilometers,सर्वात जवळची (y) [x] किलोमीटर अंतरावर आहे
,Primary schools,प्राथमिक शाळा
,Middle schools,कनिष्ठ माध्यमिक शाळा
,Secondary schools,माध्यमिक शाळा
,Senior Secondary schools,उच्च माध्यमिक शाळा
,Degree colleges of Arts and Science and Commerce,पदवी महाविद्यालय
,Engineering colleges,इंजिनियरिंग महाविद्यालय
,Medical colleges,वैद्यकीय महाविद्यालय
,Management institutes,मॅनिजमेन्ट इन्स्टिट्युट
,Polytechnics,पॉलिटेक्निक
,Vocational training schools,व्यावसायिक प्रशिक्षण शाळा
,Non-formal training centres,अनौपचारिक प्रशिक्षण केन्द्र
,Special schools for disabled,अपंगांसाठी खास शाळा
,Other educational facilities,इतर शैक्षणिक सुविधा
,Facilities,सुविधा
,Medical Facilities (Governmental),वैद्यकीय सुविधा (शासकीय)
,Commumity health centre,सामूहिक आरोग्य केन्द्र
,Primary health centres,प्राथमिक आरोग्य केन्द्र
,Primary health sub centres,प्राथमिक आरोग्य उपकेन्द्र
,Maternity and child welfare centres,प्रसूति व शिशुसंगोपन केन्द्र
,T.B. clinics,क्षयरोग रुग्णालय
,Allopathic hospitals,अ‍ॅलोपॅथिक रुग्णालय
,Alternative medicine hospitals,अन्य उपचार पद्धतीचे रुग्णालय
,Dispensaries,दवाखाने
,Veterinary hospitals,गुरांचे दवाखाने
,Mobile health clinics,फिरते दवाखाने
,Family welfare centres,कुटुंब कल्याण केन्द्र
,Medical Facilities (Non-Government),वैद्यकीय सुविधा (बिगर-सरकारी)
,Charitable non Govt. hospital/Nursing homes,धर्मादाय बिगर-सरकारी रुग्णालय
,Medical practitioner with MBBS Degrees,एम बी बी एस पदवीधर डॉक्टर
,Medical practitioner with other degrees,इतर पदवीधर डॉक्टर
,Medical practitioner with no degrees,पदवी नसलेले डॉक्टर
,Traditional practitioners and faith healers,पारंपरिक वैद्य व वैदू
,Medicine Shops,औषधाची दुकाने
,Other non-governmental medical amenities,इतर बिगरसरकारी वैद्यकीय सुविधा
,Drinking water,पिण्याचे पाणी
,Drinking water from Tap,नळाच्या पाण्याचा
,Drinking water from Wells,विहिरीच्या पाण्याचा
,Drinking water from hand pumps,हॅन्ड पंपच्या पाण्याचा
,Drinking water from Tube wells / Bore wells,बोअर वेलच्या पाण्याचा
,Drinking water from Springs,झऱ्याच्या पाण्याचा
,Drinking water from River / Canal,नदी / कालव्याच्या पाण्याचा  
,Drinking water from Tank / Pond / Lake,तलाव / तळीच्या पाण्याचा 
,Drinking water from other sources,इतर पद्धतीने पाण्याचा
,Sanitation,स्वच्छता
,Community toilet including  bath,न्हाणीघरासह सार्वजनिक स्वच्छता गृह
,Community toilet excluding  bath,न्हाणीघराशिवाय सार्वजनिक स्वच्छता गृह
,Rural  sanitary mart or sanitary  hardware outlet,ग्रामीण सॅनिटरी हार्डवेयरचे दुकान
,Community bio- gas or recycle of waste for productive use,सामूहिक बायोगॅस किंवा कचऱ्याच्या उत्पादक पुनर्वापराची व्यवस्था
,Communication and Transport,दूरवहन आणि संचार
,Post office ,पोस्ट ऑफिस
,Sub Post office ,उपपोस्ट ऑफिस
,Post & Telegraph office ,पोस्ट व तार ऑफिस
,Village pin code,गावाचे पिन कोड
,Telephones (Land lines),टेलिफोन
,Public call office,सार्वजनिक टेलिफोन केन्द्र
,Mobile phone coverage,मोबाइल फोन सुविधा
,Internet cafes / Common service centre,इंटरनेट सुविधा
,Private courier,खाजगी कूरियर
,Bus service (Public & Private),खाजगी व सरकारी बस सर्व्हिस
,Railway stations,रेल्वे स्टेशन
,Auto/Modified Autos,ऑटो व टमटम
,Taxis and Vans,टॅक्सी व व्हॅन
,Tractor,ट्रॅक्टर
,Cycle-pulled rickshaws (Manual & Machine driven),सायकल रिक्षा (पायचाकी व यांत्रिक)
,Carts driven by animals,बैल व इतर जनावरांनी ओढलेल्या गाड्या
,Sea /River ferry service,समुद्र व नदीवरील बोट वाहतूक
,national highway,राष्ट्रीय महामार्ग 
,state highway,राज्य महामार्ग
,major district road  ,जिल्यातील मुख्य रस्ता
,other district road,जिल्ह्यातील दुय्यम रस्ता
,Pucca roads,पक्के रस्ते
,Kutchcha roads,कच्चे रस्ते
,Water bounded macadam roads,डांबरी रस्ते
,Navigable waterway,बोट वाहतुकीयोग्य जलमार्ग
,Footpaths,पायवाटा
,Market and Banking,बाजार व पतव्यवस्था
,Commercial & Co-operative Banks,व्यापारी व सहकारी बॅंका
,ATM,एटीएम
,Agricultural Credit Societies,शेतकी कर्ज संस्था
,Self-Help Group,स्वसहाय्य गट
,Public distribution system (PDS) shop,रेशनचे दुकान
,Mandis / Regular market,मंडया / कायमचे बाजार
,Weekly Haat,आठवड्याचा बाजार
,Agricultural marketing society,शेतमाल विक्री संस्था
,Health & Nutrition & Entertainment Amenities,आरोग्य आणि आहार व करमणूक सुविधा
,Integrated Child Development Scheme (Nutritional Centres),शिशुविकास पौष्टिक आहार केन्द्र
,Anganwadi Centre (Nutritional Centres),अंगणवाडी पौष्टिक आहार केन्द्र
,Others (Nutritional Centres),इतर पौष्टिक आहार केन्द्रे
,ASHA (Accredited Social Health Activist,आशा
,Community centre with/without TV  facility,समुदाय भवन (टीव्ही सह अथवा विरहित)
,Sports Field,क्रीडांगण
,Sports Club / Recreation Centre,खेळ / करमणूक क्लब
,Cinema / Video Hall,सिनेमा/ व्हिडियो थियेटर
,Public Library,सार्वजनिक ग्रंथालय
,Public Reading Room,सार्वजनिक वाचनालय
,Newspaper Supply,वृत्तपत्र पुरवठा
,Assembly Polling station,विधानसभा मतदान केन्द्र
,Birth & Death Registration Office,जन्म व मृत्यु नोंदणी केन्द्र
,Electricity,वीज
,power supply for domestic use,घरगुती वापरासाठी वीजपुरवठा
,power supply for agricultural use,शेतीसाठी वीजपुरवठा
,power supply for commercial use,व्यपारी वापरासाठी वीजपुरवठा
,power supply for all uses,सर्व प्रकारच्या वापरासाठी वीजपुरवठा
,Land Use,जमिनीचा वापर
,exhibits the following land use pattern (area in hectares):,ह्या गावात जमिनीचा वापर खालीलप्रमाणे होतो (हेक्टरमध्ये क्षेत्रफळ):
,Forests,जंगल
,Area under Non-agricultural Uses,बिगरशेतकी वापरातली जमीन
,Barren and Un-cultivable land,ओसाड व शेतीला अयोग्य जमीन
,Permanent Pastures and Other Grazing Lands,कुरणे व इतर चराऊ जमीन
,Land Under Miscellaneous Tree Crops etc,फुटकळ झाडीखालची जमीन
,Culturable Waste Land,शेतीयोग्य पडीक जमीन
,Fallow lands other than current fallows,कायमस्वरूपी पडीक जमीन
,Current Fallows,ह्या वर्षीची पडीक जमीन
,Net Area Sown,पिकांखालची जमीन
,Total Irrigated Land Area,एकूण बागायती जमीन
,Total Un-irrigated Land Area,एकूण कोरडवाहू शेतजमीन
,Irrigation facilities,सिंचन सुविधा
,Sources of irrigation are as follows (area in hectares):,सिंचन पाणीपुरवठा खालीलप्रमाणे आहे ( हेक्टरमध्ये क्षेत्रफळ):
,Canals,कालवे
,Wells/Tube-wells,विहिरी / कूप नलिका
,Tanks/Lakes,तलाव / तळी
,Water Falls,ओढे
,Others,इतर
,Manufacturing,उत्पादन
,is engaged in the manufacture of following items (in decreasing order of importance),ह्या गावी पुढील वस्तूंचे उत्पादन होते ( महत्वाच्या उतरत्या अनुक्रमाने)
,,
